"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-10 14:02:37",1762783357948,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/activity","GET","",200,"txjp6-1762783357406-eabc7d2c4ae4","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/activity","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:37",1762783357934,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/settings","GET","",200,"8fzsv-1762783357410-353627adcf8e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/settings","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:37",1762783357930,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/balance","GET","",200,"p6krt-1762783357406-91065f858ece","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/balance","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:37",1762783357920,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/reports","GET","",200,"hw9lm-1762783357406-cc8ec0e2e1fa","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/reports","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:37",1762783357896,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/pnl","GET","",200,"gq5gk-1762783357406-5744b1094070","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","PRERENDER","static","/pnl","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",-1,"",-1,-1,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","","",-1
"2025-11-10 14:02:37",1762783357802,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/pnl/overhead-expenses","GET","period=month",200,"wtwht-1762783357405-3477e5bc9676","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/pnl/overhead-expenses","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",3257,"iad1",126,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TVABPKFQ6N8Y6B4XQXV","VDVWkMX2nHDP",1
"2025-11-10 14:02:37",1762783357795,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/pnl/property-person","GET","period=month",200,"8djjn-1762783357405-1eaf5fb3be25","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/pnl/property-person","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",3744,"iad1",125,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TV36AXPNNYEMBCVS96V","KP4LBPhWMdj1",1
"2025-11-10 14:02:37",1762783357793,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/pnl","GET","",200,"wrbcq-1762783357404-ae436cf25887","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/pnl","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",6592,"iad1",166,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TV11MW9WKBJA7GKSDNZ","w5UAIVV9iPbe",2
"2025-11-10 14:02:37",1762783357780,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/inbox","GET","",200,"99m9f-1762783357408-2f3ccb299827","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/inbox","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",4642,"iad1",131,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TTN0S0XJVWW30S5RQ41","ejQ3ZkmM9vFX",1
"2025-11-10 14:02:37",1762783357778,"bookmate-l3oppyzm8-tool2us-projects.vercel.app/api/balance","GET","",200,"l2nw6-1762783357405-9ff909037af0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","info","production","main","","lambda","/api/balance","bookmate-l3oppyzm8-tool2us-projects.vercel.app","bookmate-l3oppyzm8-tool2us-projects.vercel.app","dpl_BXrXBWQtWfS7jj9YNFPSwgiaiwED",2232,"iad1",276,2048,"","prj_63uBGkZZhjEmgHzohvBA1ZzjMGG3","","","01K9Q16TTJMWPCPQ85SQS7QKDD","wxvXtKSwNqkR",1
